type,src,question,prompt,response,id,target,participant,response_num,rating_std
uses,dod20,What is a surprising use for a TABLE?,table,massage table,dod20_table-ce5f0a,2.3,dod201,2.0,0.5
uses,dod20,What is a surprising use for a TABLE?,table,operating table,dod20_table-1449ba,1.8,dod201,3.0,0.957427107756338
uses,dod20,What is a surprising use for a TABLE?,table,bed,dod20_table-fac01c,3.8,dod201,4.0,0.5
uses,dod20,What is a surprising use for a TABLE?,table,sled,dod20_table-3b08c2,4.5,dod201,5.0,0.5773502691896257
uses,dod20,What is a surprising use for a TABLE?,table,shelter,dod20_table-e18d77,3.5,dod201,6.0,0.5773502691896257
uses,dod20,What is a surprising use for a TIRE?,tire,planter,dod20_tire-a243cf,3.2,dod201,1.0,0.957427107756338
uses,dod20,What is a surprising use for a TIRE?,tire,swing,dod20_tire-d8fc22,2.2,dod201,2.0,0.5
uses,dod20,What is a surprising use for a TIRE?,tire,workout equipment,dod20_tire-39adc3,2.7,dod201,3.0,0.5
uses,dod20,What is a surprising use for a TIRE?,tire,sand box,dod20_tire-5e0f12,3.2,dod201,4.0,1.2583057392117916
uses,dod20,What is a surprising use for a BOOK?,book,knowledge development,dod20_book-f991d4,1.5,dod2010,1.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOOK?,book,vocabulary expansion,dod20_book-8689e1,1.5,dod2010,2.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOOK?,book,memory improvement,dod20_book-b4099a,2.5,dod2010,3.0,1.2909944487358056
uses,dod20,What is a surprising use for a BOOK?,book,better writing skills,dod20_book-3dfb49,1.5,dod2010,4.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOTTLE?,bottle,for store water,dod20_bottle-719917,1.0,dod2010,1.0,0.0
uses,dod20,What is a surprising use for a BOTTLE?,bottle,storing fruit juice,dod20_bottle-f2f0cd,1.0,dod2010,2.0,0.0
uses,dod20,What is a surprising use for a BRICK?,brick,used for building house,dod20_brick-33ed6c,1.0,dod2010,1.0,0.0
uses,dod20,What is a surprising use for a BRICK?,brick,used for buil,dod20_brick-fa21b7,1.0,dod2010,2.0,0.0
uses,dod20,What is a surprising use for a FORK?,fork,for,dod20_fork-558372,1.0,dod2010,1.0,
uses,dod20,What is a surprising use for PANTS?,pants,pants to wear,dod20_pants-bbd94f,1.0,dod2010,1.0,0.0
uses,dod20,What is a surprising use for PANTS?,pants,comfortable to wear,dod20_pants-b544a6,1.2,dod2010,2.0,0.5
uses,dod20,What is a surprising use for PANTS?,pants,good looki,dod20_pants-b42cf2,1.3,dod2010,3.0,0.5
uses,dod20,What is a surprising use for a ROPE?,rope,hanging a swing. use old rope for hanging tree swings or any other kind of swing,dod20_rope-bb9f17,2.7,dod2010,1.0,1.2583057392117916
uses,dod20,What is a surprising use for a ROPE?,rope,knots,dod20_rope-6e51ce,1.3,dod2010,2.0,0.5
uses,dod20,What is a surprising use for a ROPE?,rope,ropes have tensile strength and so can be used for dragging and lifting,dod20_rope-bc9e21,1.7,dod2010,3.0,0.5
uses,dod20,What is a surprising use for a SHOE?,shoe,foot wear,dod20_shoe-7a332e,1.0,dod2010,1.0,0.0
uses,dod20,What is a surprising use for a SHOE?,shoe,protects legs,dod20_shoe-f5169d,1.5,dod2010,2.0,0.5773502691896257
uses,dod20,What is a surprising use for a SHOE?,shoe,useful for running,dod20_shoe-31b2cb,1.0,dod2010,3.0,0.0
uses,dod20,What is a surprising use for a SHOVEL?,shovel,shovel is a tool for digging,dod20_shovel-1cb1fe,1.0,dod2010,1.0,0.0
uses,dod20,What is a surprising use for a SHOVEL?,shovel,lifting and moving bulk materials,dod20_shovel-d3409c,1.8,dod2010,2.0,0.5
uses,dod20,What is a surprising use for a SHOVEL?,shovel,used in agriculture,dod20_shovel-223530,1.2,dod2010,3.0,0.5
uses,dod20,What is a surprising use for a TABLE?,table,used for reading,dod20_table-df2381,1.5,dod2010,1.0,0.5773502691896257
uses,dod20,What is a surprising use for a TABLE?,table,writing,dod20_table-c95d21,1.3,dod2010,2.0,0.5
uses,dod20,What is a surprising use for a TABLE?,table,eating,dod20_table-a85e96,1.0,dod2010,3.0,0.0
uses,dod20,What is a surprising use for a TABLE?,table,keeping books,dod20_table-2c704d,2.0,dod2010,4.0,0.816496580927726
uses,dod20,What is a surprising use for a TIRE?,tire,used in cars,dod20_tire-6b7d08,1.0,dod2010,1.0,0.0
uses,dod20,What is a surprising use for a TIRE?,tire,used in two wheeler,dod20_tire-f6f674,1.2,dod2010,2.0,0.5
uses,dod20,What is a surprising use for a TIRE?,tire,used in bus,dod20_tire-9ba875,1.0,dod2010,3.0,0.0
uses,dod20,What is a surprising use for a BOOK?,book,read,dod20_book-fd9ca7,1.3,dod2011,1.0,0.5
uses,dod20,What is a surprising use for a BOOK?,book,learn,dod20_book-51dc89,1.5,dod2011,2.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOOK?,book,write,dod20_book-0dce84,1.0,dod2011,3.0,0.0
uses,dod20,What is a surprising use for a BOOK?,book,smack mosquitoes,dod20_book-c3c9de,3.0,dod2011,4.0,0.816496580927726
uses,dod20,What is a surprising use for a BOOK?,book,put below pans,dod20_book-89fd95,2.5,dod2011,5.0,1.2909944487358056
uses,dod20,What is a surprising use for a BOOK?,book,use as a weight,dod20_book-73d93a,2.8,dod2011,6.0,0.5
uses,dod20,What is a surprising use for a BOOK?,book,record,dod20_book-7c6f66,1.5,dod2011,7.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOOK?,book,diary,dod20_book-245136,1.5,dod2011,8.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOOK?,book,communicate,dod20_book-efdab3,1.8,dod2011,9.0,0.957427107756338
uses,dod20,What is a surprising use for a BOOK?,book,get injured,dod20_book-d8b741,2.5,dod2011,10.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOTTLE?,bottle,put fluids in,dod20_bottle-497ffc,1.0,dod2011,1.0,0.0
uses,dod20,What is a surprising use for a BOTTLE?,bottle,carry fluids in,dod20_bottle-fe82a0,1.0,dod2011,2.0,0.0
uses,dod20,What is a surprising use for a BOTTLE?,bottle,mix fluids in,dod20_bottle-e42fec,1.5,dod2011,3.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOTTLE?,bottle,heat fluids in,dod20_bottle-518869,1.7,dod2011,4.0,0.957427107756338
uses,dod20,What is a surprising use for a BOTTLE?,bottle,chill fluids in,dod20_bottle-55419e,1.5,dod2011,5.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOTTLE?,bottle,freeze fluids in,dod20_bottle-e72fdc,1.7,dod2011,6.0,0.5
uses,dod20,What is a surprising use for a BRICK?,brick,build a house or objects with,dod20_brick-060bb8,1.0,dod2011,1.0,0.0
uses,dod20,What is a surprising use for a BRICK?,brick,use as a weight,dod20_brick-73d93a,2.3,dod2011,2.0,0.5
uses,dod20,What is a surprising use for a BRICK?,brick,make arts with,dod20_brick-d3a979,3.0,dod2011,3.0,0.816496580927726
uses,dod20,What is a surprising use for a BRICK?,brick,play with,dod20_brick-4de63f,2.8,dod2011,4.0,0.5
uses,dod20,What is a surprising use for a FORK?,fork,eat foods with,dod20_fork-dcf048,1.0,dod2011,1.0,0.0
uses,dod20,What is a surprising use for a FORK?,fork,bend over,dod20_fork-c519ea,2.3,dod2011,2.0,0.5
uses,dod20,What is a surprising use for a FORK?,fork,open the can with,dod20_fork-a2d754,3.0,dod2011,3.0,0.0
uses,dod20,What is a surprising use for PANTS?,pants,wear,dod20_pants-c27fed,1.0,dod2011,1.0,0.0
uses,dod20,What is a surprising use for PANTS?,pants,hide lower parts of body with,dod20_pants-50670f,1.0,dod2011,2.0,0.0
uses,dod20,What is a surprising use for PANTS?,pants,fashion,dod20_pants-7536c0,1.0,dod2011,3.0,0.0
uses,dod20,What is a surprising use for PANTS?,pants,uniform,dod20_pants-dcb340,1.2,dod2011,4.0,0.5
uses,dod20,What is a surprising use for PANTS?,pants,use as a cleaning cl,dod20_pants-ab99ca,2.2,dod2011,5.0,0.5
uses,dod20,What is a surprising use for a ROPE?,rope,cling on,dod20_rope-f7aa49,2.0,dod2011,1.0,0.816496580927726
uses,dod20,What is a surprising use for a ROPE?,rope,play with,dod20_rope-4de63f,2.5,dod2011,2.0,0.5773502691896257
uses,dod20,What is a surprising use for a ROPE?,rope,reach out,dod20_rope-8eb94c,2.0,dod2011,3.0,0.816496580927726
uses,dod20,What is a surprising use for a ROPE?,rope,bungee jump,dod20_rope-cfb5ab,3.5,dod2011,4.0,1.7320508075688772
uses,dod20,What is a surprising use for a ROPE?,rope,go down,dod20_rope-5762a0,1.7,dod2011,5.0,0.957427107756338
uses,dod20,What is a surprising use for a ROPE?,rope,go up,dod20_rope-cfe11c,1.7,dod2011,6.0,0.957427107756338
uses,dod20,What is a surprising use for a ROPE?,rope,connect between two objects or places,dod20_rope-d80740,2.0,dod2011,7.0,0.816496580927726
uses,dod20,What is a surprising use for a ROPE?,rope,make shapes and lines,dod20_rope-5d7e02,2.5,dod2011,8.0,1.2909944487358056
uses,dod20,What is a surprising use for a ROPE?,rope,show ties,dod20_rope-56b55f,2.5,dod2011,9.0,1.2909944487358056
uses,dod20,What is a surprising use for a SHOE?,shoe,wear,dod20_shoe-c27fed,1.0,dod2011,1.0,0.0
uses,dod20,What is a surprising use for a SHOE?,shoe,protect feet from rough or sharp pieces or temperatures from ground,dod20_shoe-2546d5,1.3,dod2011,2.0,0.5
uses,dod20,What is a surprising use for a SHOE?,shoe,make,dod20_shoe-9bca48,1.7,dod2011,3.0,0.5773502691896257
uses,dod20,What is a surprising use for a SHOE?,shoe,design,dod20_shoe-4fd71a,1.5,dod2011,4.0,0.5773502691896257
uses,dod20,What is a surprising use for a SHOE?,shoe,"to run, walk, exercise",dod20_shoe-8625fc,1.2,dod2011,5.0,0.5
uses,dod20,What is a surprising use for a SHOE?,shoe,throw,dod20_shoe-c8da0b,2.5,dod2011,6.0,0.5773502691896257
uses,dod20,What is a surprising use for a SHOVEL?,shovel,move or carry objects from one place to another with,dod20_shovel-d0e89e,2.0,dod2011,1.0,0.816496580927726
uses,dod20,What is a surprising use for a SHOVEL?,shovel,make a hole on the ground or sands,dod20_shovel-3b9d9c,1.0,dod2011,2.0,0.0
uses,dod20,What is a surprising use for a SHOVEL?,shovel,smack hard objects into the ground,dod20_shovel-7d3650,2.3,dod2011,3.0,0.5
uses,dod20,What is a surprising use for a TABLE?,table,put stuffs on,dod20_table-9bfc11,1.5,dod2011,1.0,0.5773502691896257
uses,dod20,What is a surprising use for a TABLE?,table,eat foods on,dod20_table-3c9875,1.0,dod2011,2.0,0.0
uses,dod20,What is a surprising use for a TABLE?,table,gather around with others,dod20_table-f72746,1.8,dod2011,3.0,0.957427107756338
uses,dod20,What is a surprising use for a TABLE?,table,stand on to reach out to the high places,dod20_table-a7bad4,3.0,dod2011,4.0,0.816496580927726
uses,dod20,What is a surprising use for a TABLE?,table,study on,dod20_table-b4de59,1.5,dod2011,5.0,0.5773502691896257
uses,dod20,What is a surprising use for a TABLE?,table,build,dod20_table-e0843a,2.0,dod2011,6.0,0.0
uses,dod20,What is a surprising use for a TABLE?,table,cook on,dod20_table-54f3e1,1.5,dod2011,7.0,0.5773502691896257
uses,dod20,What is a surprising use for a TABLE?,table,use as a stable surface,dod20_table-929460,1.0,dod2011,8.0,0.0
uses,dod20,What is a surprising use for a TIRE?,tire,carry objects or people,dod20_tire-9dbcef,1.7,dod2011,1.0,0.957427107756338
uses,dod20,What is a surprising use for a TIRE?,tire,make decorations or arts with,dod20_tire-2f2b7b,3.0,dod2011,2.0,0.816496580927726
uses,dod20,What is a surprising use for a TIRE?,tire,recycle,dod20_tire-e1f29d,2.0,dod2011,3.0,0.816496580927726
uses,dod20,What is a surprising use for a BOOK?,book,as a weapon,dod20_book-b8b8aa,4.0,dod2012,1.0,0.816496580927726
uses,dod20,What is a surprising use for a BOOK?,book,to fuel a fire,dod20_book-55a413,2.5,dod2012,2.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOOK?,book,scratch paper,dod20_book-7f04c8,2.0,dod2012,3.0,0.816496580927726
uses,dod20,What is a surprising use for a BOOK?,book,to carry something hot,dod20_book-2f5850,4.5,dod2012,4.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOOK?,book,to sit on and raise height,dod20_book-537488,3.5,dod2012,5.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOOK?,book,to balance uneven chair legs,dod20_book-dc0e1b,2.7,dod2012,6.0,0.5
uses,dod20,What is a surprising use for a BOTTLE?,bottle,to pee in,dod20_bottle-093744,2.7,dod2012,1.0,1.2583057392117916
uses,dod20,What is a surprising use for a BOTTLE?,bottle,as a sound enhancer,dod20_bottle-ed39c4,3.5,dod2012,2.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOTTLE?,bottle,noisemaker,dod20_bottle-24b82d,3.3,dod2012,3.0,0.5
uses,dod20,What is a surprising use for a BOTTLE?,bottle,weapon,dod20_bottle-76fbbd,3.2,dod2012,4.0,0.5
uses,dod20,What is a surprising use for a BRICK?,brick,weapon,dod20_brick-76fbbd,3.2,dod2012,1.0,0.5
uses,dod20,What is a surprising use for a BRICK?,brick,to break a window,dod20_brick-89ea6e,2.8,dod2012,2.0,0.5
uses,dod20,What is a surprising use for a BRICK?,brick,as decoration,dod20_brick-fadfb3,2.5,dod2012,3.0,0.5773502691896257
uses,dod20,What is a surprising use for a BRICK?,brick,for art,dod20_brick-075616,2.7,dod2012,4.0,0.5
uses,dod20,What is a surprising use for a BRICK?,brick,to paint,dod20_brick-cda686,2.7,dod2012,5.0,0.5
uses,dod20,What is a surprising use for a BRICK?,brick,as a picture stand,dod20_brick-1ca465,3.5,dod2012,6.0,0.5773502691896257
uses,dod20,What is a surprising use for a FORK?,fork,to stab someone,dod20_fork-3394b1,2.5,dod2012,1.0,0.5773502691896257
uses,dod20,What is a surprising use for a FORK?,fork,to put holes in wall,dod20_fork-3afb3a,2.8,dod2012,2.0,0.5
uses,dod20,What is a surprising use for a FORK?,fork,to pry open something,dod20_fork-37d7f5,3.0,dod2012,3.0,0.0
uses,dod20,What is a surprising use for a FORK?,fork,to,dod20_fork-b85963,1.0,dod2012,4.0,
uses,dod20,What is a surprising use for PANTS?,pants,a shield,dod20_pants-d3f201,3.0,dod2012,1.0,1.4142135623730951
uses,dod20,What is a surprising use for PANTS?,pants,to help start a fire,dod20_pants-e42fed,2.5,dod2012,2.0,0.5773502691896257
uses,dod20,What is a surprising use for a ROPE?,rope,to tie a knot,dod20_rope-0acf78,1.0,dod2012,1.0,0.0
uses,dod20,What is a surprising use for a ROPE?,rope,to hold something,dod20_rope-864227,1.8,dod2012,2.0,0.5
uses,dod20,What is a surprising use for a ROPE?,rope,in a science experiment,dod20_rope-c330c6,3.5,dod2012,3.0,1.0
uses,dod20,What is a surprising use for a ROPE?,rope,as a weapon,dod20_rope-b8b8aa,2.7,dod2012,4.0,0.5
uses,dod20,What is a surprising use for a ROPE?,rope,for working out,dod20_rope-8c9fa0,2.3,dod2012,5.0,0.957427107756338
uses,dod20,What is a surprising use for a ROPE?,rope,to tow a car,dod20_rope-149573,1.8,dod2012,6.0,0.5
uses,dod20,What is a surprising use for a SHOE?,shoe,as a weapon,dod20_shoe-b8b8aa,3.3,dod2012,1.0,0.5
uses,dod20,What is a surprising use for a SHOE?,shoe,to hide something inside,dod20_shoe-6de2da,3.0,dod2012,2.0,0.0
uses,dod20,What is a surprising use for a SHOVEL?,shovel,as a weapon,dod20_shovel-b8b8aa,3.0,dod2012,1.0,0.816496580927726
uses,dod20,What is a surprising use for a SHOVEL?,shovel,to prop open something,dod20_shovel-b85b42,2.5,dod2012,2.0,0.5773502691896257
uses,dod20,What is a surprising use for a TABLE?,table,as a workout board,dod20_table-962071,2.8,dod2012,1.0,1.2583057392117916
uses,dod20,What is a surprising use for a TABLE?,table,dance floor,dod20_table-ae8d5c,3.8,dod2012,2.0,0.957427107756338
uses,dod20,What is a surprising use for a TABLE?,table,step stool,dod20_table-fd1e40,2.5,dod2012,3.0,0.5773502691896257
uses,dod20,What is a surprising use for a TABLE?,table,fire starter,dod20_table-8b6afe,3.5,dod2012,4.0,1.2909944487358056
uses,dod20,What is a surprising use for a TABLE?,table,storage space,dod20_table-b66a73,1.7,dod2012,5.0,0.5
uses,dod20,What is a surprising use for a TABLE?,table,barricade,dod20_table-acb099,3.8,dod2012,6.0,0.5
uses,dod20,What is a surprising use for a TIRE?,tire,as a play toy,dod20_tire-c68f19,2.2,dod2012,1.0,0.5
uses,dod20,What is a surprising use for a TIRE?,tire,to workout,dod20_tire-0b1f32,2.8,dod2012,2.0,0.5
uses,dod20,What is a surprising use for a TIRE?,tire,as a weapon,dod20_tire-b8b8aa,3.2,dod2012,3.0,0.5
uses,dod20,What is a surprising use for a TIRE?,tire,to melt down and use the materials,dod20_tire-de5e22,2.3,dod2012,4.0,0.5
uses,dod20,What is a surprising use for a BOOK?,book,read it,dod20_book-a4e9dc,1.2,dod2013,1.0,0.5
uses,dod20,What is a surprising use for a BOOK?,book,stack it,dod20_book-f617cd,2.2,dod2013,2.0,0.5
uses,dod20,What is a surprising use for a BOOK?,book,climb a stack of them,dod20_book-da61aa,3.3,dod2013,3.0,0.5
uses,dod20,What is a surprising use for a BOOK?,book,kill a bug,dod20_book-5b5124,3.0,dod2013,4.0,0.816496580927726
uses,dod20,What is a surprising use for a BOOK?,book,study it,dod20_book-6c3192,1.0,dod2013,5.0,0.0
uses,dod20,What is a surprising use for a BOOK?,book,be inspired by it,dod20_book-6548d8,1.5,dod2013,6.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOOK?,book,memorize it,dod20_book-66a336,1.8,dod2013,7.0,0.5
uses,dod20,What is a surprising use for a BOOK?,book,recite it,dod20_book-c4847a,1.7,dod2013,8.0,0.957427107756338
uses,dod20,What is a surprising use for a BOOK?,book,perform from it,dod20_book-ed904e,3.0,dod2013,9.0,1.8257418583505536
uses,dod20,What is a surprising use for a BOOK?,book,read it to another,dod20_book-7e022f,1.5,dod2013,10.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOOK?,book,donate it,dod20_book-471362,1.5,dod2013,11.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOOK?,book,burn pages,dod20_book-ab069f,2.5,dod2013,12.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOOK?,book,decorate with it,dod20_book-0446ce,2.5,dod2013,13.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOOK?,book,photocopy it,dod20_book-dae638,1.8,dod2013,14.0,0.5
uses,dod20,What is a surprising use for a BOTTLE?,bottle,drink out of it,dod20_bottle-c58000,1.0,dod2013,1.0,0.0
uses,dod20,What is a surprising use for a BOTTLE?,bottle,make music by blowing across an empty bottle,dod20_bottle-965beb,3.5,dod2013,2.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOTTLE?,bottle,smash it,dod20_bottle-cb998d,2.5,dod2013,3.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOTTLE?,bottle,make a xylophone,dod20_bottle-be454c,3.8,dod2013,4.0,0.957427107756338
uses,dod20,What is a surprising use for a BOTTLE?,bottle,use pieces for a mosaic,dod20_bottle-7af53a,3.5,dod2013,5.0,1.2909944487358056
uses,dod20,What is a surprising use for a BOTTLE?,bottle,use as a vase,dod20_bottle-ce10a3,2.5,dod2013,6.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOTTLE?,bottle,display as decoration,dod20_bottle-b806f5,2.8,dod2013,7.0,0.5
uses,dod20,What is a surprising use for a BOTTLE?,bottle,reuse for fresh liquid,dod20_bottle-fc3059,1.5,dod2013,8.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOTTLE?,bottle,use as a weapon,dod20_bottle-80c5fe,3.5,dod2013,9.0,0.5773502691896257
uses,dod20,What is a surprising use for a BOTTLE?,bottle,clink for a toast,dod20_bottle-e4d62b,2.0,dod2013,10.0,0.816496580927726
uses,dod20,What is a surprising use for a BOTTLE?,bottle,feed a baby,dod20_bottle-5d492b,1.3,dod2013,11.0,0.5
uses,dod20,What is a surprising use for a BOTTLE?,bottle,feed a baby animal,dod20_bottle-c1483c,2.0,dod2013,12.0,1.4142135623730951
uses,dod20,What is a surprising use for a BOTTLE?,bottle,clean it,dod20_bottle-dd8b24,1.3,dod2013,13.0,0.5
uses,dod20,What is a surprising use for a BOTTLE?,bottle,scrub off th,dod20_bottle-9ec983,1.0,dod2013,14.0,
uses,dod20,What is a surprising use for a BRICK?,brick,masonry for a building or wall,dod20_brick-39837e,1.0,dod2013,1.0,0.0
uses,dod20,What is a surprising use for a BRICK?,brick,stack them high to reach something,dod20_brick-6d821c,2.5,dod2013,2.0,0.5773502691896257
uses,dod20,What is a surprising use for a BRICK?,brick,use as a weapon,dod20_brick-80c5fe,3.3,dod2013,3.0,0.5
uses,dod20,What is a surprising use for a BRICK?,brick,break a window,dod20_brick-779bfb,2.7,dod2013,4.0,0.5
uses,dod20,What is a surprising use for a BRICK?,brick,make a flower bed,dod20_brick-363fe6,2.5,dod2013,5.0,0.5773502691896257
uses,dod20,What is a surprising use for a BRICK?,brick,decorate a walkway,dod20_brick-be44b7,2.5,dod2013,6.0,1.2909944487358056
uses,dod20,What is a surprising use for a BRICK?,brick,paint,dod20_brick-cdf349,3.0,dod2013,7.0,0.816496580927726
uses,dod20,What is a surprising use for a BRICK?,brick,donor recognition,dod20_brick-61bcc0,3.0,dod2013,8.0,1.8257418583505536
uses,dod20,What is a surprising use for a BRICK?,brick,weigh down something light,dod20_brick-a15111,2.3,dod2013,9.0,0.5
uses,dod20,What is a surprising use for a BRICK?,brick,put under a rickety table leg,dod20_brick-ce7ddc,2.5,dod2013,10.0,0.5773502691896257
uses,dod20,What is a surprising use for a FORK?,fork,eat,dod20_fork-13b17f,1.0,dod2013,1.0,0.0
uses,dod20,What is a surprising use for a FORK?,fork,fling food,dod20_fork-fe43cf,2.8,dod2013,2.0,0.5
uses,dod20,What is a surprising use for a FORK?,fork,scrape,dod20_fork-578696,2.2,dod2013,3.0,0.5
uses,dod20,What is a surprising use for a FORK?,fork,scoop,dod20_fork-f3fe8f,2.0,dod2013,4.0,0.0
uses,dod20,What is a surprising use for a FORK?,fork,stab,dod20_fork-e0e376,2.0,dod2013,5.0,0.816496580927726
uses,dod20,What is a surprising use for a FORK?,fork,musical instrument,dod20_fork-4b3d71,3.5,dod2013,6.0,1.0
uses,dod20,What is a surprising use for a FORK?,fork,tune a piano,dod20_fork-9ed6de,3.7,dod2013,7.0,1.8929694486000912
uses,dod20,What is a surprising use for a FORK?,fork,bear right,dod20_fork-e7ee4f,2.0,dod2013,8.0,1.0
